denomination,microprint_score,security_thread_score,uv_score,label
2000,0.191,0.255,0.252,counterfeit
100,0.73,0.733,0.82,genuine
200,0.83,0.748,0.734,genuine
200,0.309,0.494,0.399,counterfeit
500,0.764,0.793,0.843,genuine
100,0.865,0.858,0.953,genuine
2000,0.199,0.351,0.34,counterfeit
100,0.712,0.912,0.734,genuine
2000,0.702,0.957,0.659,genuine
100,0.333,0.204,0.282,counterfeit
200,0.857,0.787,0.933,genuine
500,0.879,0.755,0.682,genuine
500,0.211,0.321,0.488,counterfeit
200,0.704,0.986,0.674,genuine
2000,0.854,0.716,0.807,genuine
200,0.197,0.162,0.472,counterfeit
200,0.949,0.934,0.888,genuine
500,0.88,0.714,0.872,genuine
500,0.295,0.19,0.114,counterfeit
500,0.777,0.92,0.888,genuine
100,0.794,0.897,0.811,genuine
2000,0.199,0.362,0.178,counterfeit
200,0.964,0.896,0.803,genuine
200,0.811,0.733,0.798,genuine
500,0.247,0.283,0.336,counterfeit
500,0.948,0.783,0.682,genuine
500,0.818,0.858,0.794,genuine
200,0.311,0.157,0.163,counterfeit
100,0.715,0.838,0.86,genuine
500,0.957,0.714,0.879,genuine
500,0.222,0.128,0.195,counterfeit
200,0.734,0.892,0.729,genuine
500,0.782,0.911,0.972,genuine
500,0.354,0.391,0.428,counterfeit
200,0.716,0.817,0.907,genuine
2000,0.757,0.926,0.983,genuine
500,0.301,0.47,0.414,counterfeit
200,0.836,0.833,0.931,genuine
2000,0.731,0.735,0.934,genuine
100,0.243,0.267,0.101,counterfeit
200,0.741,0.846,0.726,genuine
100,0.739,0.946,0.926,genuine
500,0.242,0.232,0.337,counterfeit
100,0.801,0.979,0.803,genuine
200,0.952,0.879,0.899,genuine
200,0.394,0.279,0.174,counterfeit
2000,0.701,0.771,0.932,genuine
200,0.78,0.857,0.761,genuine
500,0.129,0.165,0.42,counterfeit
500,0.832,0.952,0.674,genuine
2000,0.789,0.831,0.942,genuine
100,0.183,0.305,0.129,counterfeit
500,0.953,0.941,0.975,genuine
500,0.902,0.918,0.959,genuine
500,0.348,0.333,0.354,counterfeit
200,0.972,0.903,0.783,genuine
2000,0.979,0.894,0.665,genuine
200,0.337,0.291,0.195,counterfeit
200,0.797,0.976,0.864,genuine
100,0.778,0.903,0.956,genuine
200,0.227,0.49,0.311,counterfeit
200,0.826,0.931,0.709,genuine
200,0.839,0.787,0.693,genuine
200,0.137,0.344,0.122,counterfeit
2000,0.818,0.914,0.851,genuine
500,0.738,0.846,0.772,genuine
2000,0.101,0.354,0.182,counterfeit
2000,0.772,0.907,0.675,genuine
100,0.719,0.962,0.873,genuine
100,0.416,0.147,0.236,counterfeit
100,0.745,0.808,0.88,genuine
500,0.941,0.831,0.86,genuine
500,0.199,0.434,0.124,counterfeit
200,0.853,0.866,0.695,genuine
200,0.904,0.804,0.907,genuine
2000,0.419,0.482,0.35,counterfeit
100,0.829,0.759,0.893,genuine
500,0.771,0.855,0.957,genuine
2000,0.319,0.232,0.373,counterfeit
2000,0.732,0.878,0.673,genuine
500,0.968,0.837,0.967,genuine
200,0.402,0.284,0.178,counterfeit
2000,0.89,0.846,0.739,genuine
500,0.848,0.985,0.848,genuine
200,0.325,0.377,0.261,counterfeit
2000,0.804,0.865,0.925,genuine
500,0.926,0.876,0.845,genuine
500,0.143,0.285,0.111,counterfeit
100,0.866,0.802,0.704,genuine
500,0.899,0.918,0.886,genuine
500,0.377,0.27,0.359,counterfeit
200,0.72,0.95,0.814,genuine
100,0.942,0.837,0.661,genuine
500,0.262,0.459,0.335,counterfeit
100,0.976,0.929,0.931,genuine
100,0.829,0.817,0.686,genuine
200,0.396,0.203,0.437,counterfeit
500,0.972,0.857,0.843,genuine
2000,0.756,0.851,0.781,genuine
2000,0.232,0.161,0.197,counterfeit
2000,0.807,0.797,0.901,genuine
100,0.812,0.818,0.944,genuine
2000,0.125,0.349,0.366,counterfeit
2000,0.851,0.902,0.776,genuine
500,0.833,0.819,0.985,genuine
200,0.364,0.355,0.166,counterfeit
500,0.967,0.849,0.702,genuine
200,0.76,0.861,0.866,genuine
100,0.123,0.209,0.36,counterfeit
100,0.891,0.726,0.948,genuine
200,0.937,0.871,0.96,genuine
2000,0.124,0.122,0.214,counterfeit
2000,0.733,0.942,0.75,genuine
500,0.87,0.762,0.767,genuine
2000,0.393,0.387,0.472,counterfeit
2000,0.811,0.74,0.767,genuine
200,0.84,0.973,0.928,genuine
100,0.166,0.417,0.262,counterfeit
500,0.919,0.772,0.972,genuine
100,0.746,0.812,0.984,genuine
100,0.108,0.232,0.166,counterfeit
200,0.945,0.74,0.793,genuine
2000,0.865,0.897,0.754,genuine
200,0.102,0.325,0.358,counterfeit
200,0.783,0.731,0.655,genuine
500,0.81,0.802,0.944,genuine
2000,0.231,0.403,0.223,counterfeit
100,0.859,0.951,0.74,genuine
500,0.784,0.938,0.691,genuine
