latitude,longitude,incident_type,district,state
18.938122,72.765306,upi_scam,Mumbai,Mumbai
13.057823,80.333919,upi_scam,Chennai,Chennai
28.52796,77.216209,upi_scam,Delhi,Delhi
13.045929,77.530474,digital_fraud,Bangalore,Bangalore
13.067859,80.382037,counterfeit_currency,Chennai,Chennai
28.467075,77.073912,upi_scam,Delhi,Delhi
12.992412,80.324898,digital_fraud,Chennai,Chennai
28.722995,77.245676,upi_scam,Delhi,Delhi
12.969505,80.163191,digital_fraud,Chennai,Chennai
12.950715,80.240313,digital_fraud,Chennai,Chennai
28.667286,77.283999,counterfeit_currency,Delhi,Delhi
12.984012,77.47933,digital_fraud,Bangalore,Bangalore
12.949457,77.632106,counterfeit_currency,Bangalore,Bangalore
28.614229,77.294165,counterfeit_currency,Delhi,Delhi
13.041582,80.326596,digital_fraud,Chennai,Chennai
13.030766,77.600136,upi_scam,Bangalore,Bangalore
13.095076,80.264871,upi_scam,Chennai,Chennai
28.664439,77.118527,counterfeit_currency,Delhi,Delhi
19.116509,72.872375,counterfeit_currency,Mumbai,Mumbai
19.195715,72.764732,digital_fraud,Mumbai,Mumbai
19.093946,72.794794,digital_fraud,Mumbai,Mumbai
28.519026,77.314585,counterfeit_currency,Delhi,Delhi
13.158607,80.255704,counterfeit_currency,Chennai,Chennai
13.027906,77.636275,digital_fraud,Bangalore,Bangalore
12.919802,77.699206,digital_fraud,Bangalore,Bangalore
12.833113,77.513996,counterfeit_currency,Bangalore,Bangalore
28.667815,77.187429,digital_fraud,Delhi,Delhi
19.025192,72.990672,digital_fraud,Mumbai,Mumbai
12.845369,77.634399,digital_fraud,Bangalore,Bangalore
13.057968,77.532753,counterfeit_currency,Bangalore,Bangalore
13.019802,80.214844,counterfeit_currency,Chennai,Chennai
12.887843,77.615604,counterfeit_currency,Bangalore,Bangalore
18.96118,72.894088,counterfeit_currency,Mumbai,Mumbai
28.626643,77.135117,digital_fraud,Delhi,Delhi
19.012837,72.794844,counterfeit_currency,Mumbai,Mumbai
13.126499,80.129689,digital_fraud,Chennai,Chennai
19.219254,72.831627,digital_fraud,Mumbai,Mumbai
12.998574,77.53163,counterfeit_currency,Bangalore,Bangalore
13.14208,80.379943,counterfeit_currency,Chennai,Chennai
12.911726,77.466388,upi_scam,Bangalore,Bangalore
12.983545,77.712418,upi_scam,Bangalore,Bangalore
13.075392,80.271863,upi_scam,Chennai,Chennai
19.018404,72.96559,counterfeit_currency,Mumbai,Mumbai
19.205029,72.783249,upi_scam,Mumbai,Mumbai
13.042646,77.715985,digital_fraud,Bangalore,Bangalore
18.935015,72.733307,digital_fraud,Mumbai,Mumbai
12.89176,77.446153,counterfeit_currency,Bangalore,Bangalore
19.008613,72.83218,counterfeit_currency,Mumbai,Mumbai
18.95595,72.786859,counterfeit_currency,Mumbai,Mumbai
13.021645,80.298119,counterfeit_currency,Chennai,Chennai
28.639813,77.179963,upi_scam,Delhi,Delhi
12.941837,80.256626,counterfeit_currency,Chennai,Chennai
13.048127,77.478765,upi_scam,Bangalore,Bangalore
19.068528,72.825562,digital_fraud,Mumbai,Mumbai
19.126331,72.915612,upi_scam,Mumbai,Mumbai
13.229289,80.286914,digital_fraud,Chennai,Chennai
28.680471,77.130164,upi_scam,Delhi,Delhi
19.026113,72.794317,digital_fraud,Mumbai,Mumbai
19.144745,72.729159,counterfeit_currency,Mumbai,Mumbai
12.93476,77.689628,counterfeit_currency,Bangalore,Bangalore
28.758932,77.143165,counterfeit_currency,Delhi,Delhi
28.576064,77.177478,upi_scam,Delhi,Delhi
28.612305,77.195995,upi_scam,Delhi,Delhi
28.616756,77.152187,digital_fraud,Delhi,Delhi
19.041151,72.98102,upi_scam,Mumbai,Mumbai
18.958776,72.916415,upi_scam,Mumbai,Mumbai
28.70039,77.322958,counterfeit_currency,Delhi,Delhi
28.652565,77.185219,upi_scam,Delhi,Delhi
13.059577,77.688637,upi_scam,Bangalore,Bangalore
18.976196,73.010331,upi_scam,Mumbai,Mumbai
13.001253,77.44538,counterfeit_currency,Bangalore,Bangalore
28.624911,77.066487,counterfeit_currency,Delhi,Delhi
28.720965,77.308955,upi_scam,Delhi,Delhi
13.189096,80.403322,digital_fraud,Chennai,Chennai
13.092796,77.540709,upi_scam,Bangalore,Bangalore
13.114979,80.388872,digital_fraud,Chennai,Chennai
28.489152,77.234368,upi_scam,Delhi,Delhi
12.969183,80.270103,digital_fraud,Chennai,Chennai
13.06921,80.170958,counterfeit_currency,Chennai,Chennai
13.002703,80.163357,digital_fraud,Chennai,Chennai
12.921728,77.688492,counterfeit_currency,Bangalore,Bangalore
28.641532,77.243274,digital_fraud,Delhi,Delhi
19.11217,72.781642,upi_scam,Mumbai,Mumbai
13.113374,77.45025,upi_scam,Bangalore,Bangalore
28.736101,77.278332,digital_fraud,Delhi,Delhi
13.128878,80.229891,counterfeit_currency,Chennai,Chennai
19.03935,73.018629,upi_scam,Mumbai,Mumbai
28.576558,77.134167,counterfeit_currency,Delhi,Delhi
12.835358,77.564508,digital_fraud,Bangalore,Bangalore
28.748266,77.088979,upi_scam,Delhi,Delhi
18.987363,72.753367,counterfeit_currency,Mumbai,Mumbai
19.213667,72.944609,digital_fraud,Mumbai,Mumbai
13.054698,77.5601,upi_scam,Bangalore,Bangalore
18.952645,72.844694,digital_fraud,Mumbai,Mumbai
12.921743,77.474096,counterfeit_currency,Bangalore,Bangalore
12.82587,77.52683,upi_scam,Bangalore,Bangalore
12.957124,80.409263,counterfeit_currency,Chennai,Chennai
28.601822,77.335561,upi_scam,Delhi,Delhi
19.204543,72.751516,counterfeit_currency,Mumbai,Mumbai
28.683618,77.222264,upi_scam,Delhi,Delhi
18.985614,72.814668,upi_scam,Mumbai,Mumbai
19.03965,72.777393,upi_scam,Mumbai,Mumbai
28.726468,77.141196,counterfeit_currency,Delhi,Delhi
19.051657,72.828558,upi_scam,Mumbai,Mumbai
28.47681,77.162373,digital_fraud,Delhi,Delhi
12.957091,80.135205,digital_fraud,Chennai,Chennai
12.879677,77.544146,upi_scam,Bangalore,Bangalore
28.719244,77.26223,upi_scam,Delhi,Delhi
18.980253,72.766978,digital_fraud,Mumbai,Mumbai
12.934699,80.313712,counterfeit_currency,Chennai,Chennai
13.055268,77.6513,upi_scam,Bangalore,Bangalore
